Months,Balance of Trade
2002-01-31T00:00:00,-29677
2002-02-28T00:00:00,-32501
2002-03-31T00:00:00,-31162
2002-04-30T00:00:00,-33964
2002-05-31T00:00:00,-34026
2002-06-30T00:00:00,-34732
2002-07-31T00:00:00,-33913
2002-08-31T00:00:00,-36386
2002-09-30T00:00:00,-36088
2002-10-31T00:00:00,-35094
2002-11-30T00:00:00,-39516
2002-12-31T00:00:00,-43608
2003-01-31T00:00:00,-41155
2003-02-28T00:00:00,-40081
2003-03-31T00:00:00,-43807
2003-04-30T00:00:00,-42037
2003-05-31T00:00:00,-41046
2003-06-30T00:00:00,-39696
2003-07-31T00:00:00,-41321
2003-08-31T00:00:00,-39892
2003-09-30T00:00:00,-41842
2003-10-31T00:00:00,-41388
2003-11-30T00:00:00,-39898
2003-12-31T00:00:00,-44079
2004-01-31T00:00:00,-44646
2004-02-29T00:00:00,-44551
2004-03-31T00:00:00,-46754
2004-04-30T00:00:00,-47284
2004-05-31T00:00:00,-47552
2004-06-30T00:00:00,-54168
2004-07-31T00:00:00,-51606
2004-08-31T00:00:00,-53647
2004-09-30T00:00:00,-51686
2004-10-31T00:00:00,-55058
2004-11-30T00:00:00,-58967
2004-12-31T00:00:00,-54918
2005-01-31T00:00:00,-56189
2005-02-28T00:00:00,-58095
2005-03-31T00:00:00,-53134
2005-04-30T00:00:00,-57312
2005-05-31T00:00:00,-56040
2005-06-30T00:00:00,-58152
2005-07-31T00:00:00,-58301
2005-08-31T00:00:00,-58745
2005-09-30T00:00:00,-64883
2005-10-31T00:00:00,-67266
2005-11-30T00:00:00,-63859
2005-12-31T00:00:00,-64569
2006-01-31T00:00:00,-66966
2006-02-28T00:00:00,-62308
2006-03-31T00:00:00,-62396
2006-04-30T00:00:00,-62602
2006-05-31T00:00:00,-64818
2006-06-30T00:00:00,-63799
2006-07-31T00:00:00,-66909
2006-08-31T00:00:00,-68277
2006-09-30T00:00:00,-65095
2006-10-31T00:00:00,-59539
2006-11-30T00:00:00,-58939
2006-12-31T00:00:00,-61882
2007-01-31T00:00:00,-58013
2007-02-28T00:00:00,-58479
2007-03-31T00:00:00,-62183
2007-04-30T00:00:00,-60494
2007-05-31T00:00:00,-59572
2007-06-30T00:00:00,-59998
2007-07-31T00:00:00,-60246
2007-08-31T00:00:00,-57214
2007-09-30T00:00:00,-58159
2007-10-31T00:00:00,-57666
2007-11-30T00:00:00,-60683
2007-12-31T00:00:00,-58290
2008-01-31T00:00:00,-61339
2008-02-29T00:00:00,-64226
2008-03-31T00:00:00,-60200
2008-04-30T00:00:00,-63732
2008-05-31T00:00:00,-62311
2008-06-30T00:00:00,-60889
2008-07-31T00:00:00,-66989
2008-08-31T00:00:00,-62394
2008-09-30T00:00:00,-60293
2008-10-31T00:00:00,-60879
2008-11-30T00:00:00,-45133
2008-12-31T00:00:00,-43967
2009-01-31T00:00:00,-39342
2009-02-28T00:00:00,-28778
2009-03-31T00:00:00,-30193
2009-04-30T00:00:00,-30474
2009-05-31T00:00:00,-25840
2009-06-30T00:00:00,-27151
2009-07-31T00:00:00,-33307
2009-08-31T00:00:00,-31674
2009-09-30T00:00:00,-35247
2009-10-31T00:00:00,-34959
2009-11-30T00:00:00,-38380
2009-12-31T00:00:00,-39426
2010-01-31T00:00:00,-37744
2010-02-28T00:00:00,-41504
2010-03-31T00:00:00,-40270
2010-04-30T00:00:00,-41496
2010-05-31T00:00:00,-42088
2010-06-30T00:00:00,-47316
2010-07-31T00:00:00,-41610
2010-08-31T00:00:00,-45619
2010-09-30T00:00:00,-44334
2010-10-31T00:00:00,-40647
2010-11-30T00:00:00,-38739
2010-12-31T00:00:00,-41722
