Employment Rate,Unemployment Rate
62.7,37.3
63,37
62.8,37.2
62.7,37.3
62.9,37.1
62.7,37.3
62.7,37.3
62.7,37.3
63,37
62.7,37.3
62.5,37.5
62.4,37.6
62.5,37.5
62.5,37.5
62.4,37.6
62.4,37.6
62.3,37.7
62.3,37.7
62.1,37.9
62.1,37.9
62,38
62.1,37.9
62.3,37.7
62.2,37.8
62.3,37.7
62.3,37.7
62.2,37.8
62.3,37.7
62.3,37.7
62.4,37.6
62.5,37.5
62.4,37.6
62.3,37.7
62.3,37.7
62.5,37.5
62.4,37.6
62.4,37.6
62.4,37.6
62.4,37.6
62.7,37.3
62.8,37.2
62.7,37.3
62.8,37.2
62.9,37.1
62.8,37.2
62.8,37.2
62.7,37.3
62.8,37.2
62.9,37.1
63,37
63.1,36.9
63,37
63.1,36.9
63.1,36.9
63,37
63.1,36.9
63.1,36.9
63.3,36.7
63.3,36.7
63.4,36.6
63.3,36.7
63.3,36.7
63.3,36.7
63,37
63,37
63,37
62.9,37.1
62.7,37.3
62.9,37.1
62.7,37.3
62.9,37.1
62.7,37.3
62.9,37.1
62.8,37.2
62.7,37.3
62.7,37.3
62.5,37.5
62.4,37.6
62.2,37.8
62,38
61.9,38.1
61.7,38.3
61.4,38.6
61,39
60.6,39.4
60.3,39.7
59.9,40.1
59.8,40.2
59.6,40.4
59.4,40.6
59.3,40.7
59.1,40.9
58.7,41.3
58.5,41.5
58.6,41.4
58.3,41.7
58.5,41.5
58.5,41.5
58.5,41.5
58.7,41.3
58.6,41.4
58.5,41.5
58.5,41.5
58.6,41.4
58.5,41.5
58.3,41.7
58.2,41.8
58.3,41.7
58.3,41.7
58.4,41.6
58.4,41.6
58.4,41.6
58.3,41.7
58.2,41.8
58.2,41.8
58.3,41.7
58.4,41.6
58.4,41.6
58.6,41.4
58.6,41.4
58.4,41.6
58.5,41.5
58.5,41.5
58.4,41.6
58.5,41.5
58.6,41.4
58.5,41.5
58.4,41.6
58.7,41.3
58.8,41.2
58.7,41.3
58.7,41.3
58.6,41.4
58.6,41.4
58.5,41.5
58.6,41.4
58.6,41.4
58.6,41.4
58.7,41.3
58.7,41.3
58.7,41.3
58.3,41.7
58.6,41.4
58.7,41.3
58.8,41.2
58.7,41.3
58.9,41.1
58.9,41.1
58.9,41.1
59,41
59,41
59,41
59.1,40.9
59.3,40.7
59.2,40.8
59.3,40.7
59.3,40.7
59.2,40.8
59.2,40.8
59.3,40.7
59.4,40.6
59.4,40.6
59.3,40.7
59.4,40.6
59.2,40.8
59.3,40.7
59.4,40.6
59.6,40.4
59.7,40.3
59.8,40.2
59.8,40.2
59.7,40.3
59.7,40.3
59.7,40.3
59.8,40.2
59.8,40.2
59.7,40.3
59.7,40.3
59.7,40.3
59.7,40.3
59.9,40.1
59.9,40.1
60.2,39.8
60.2,39.8
60.1,39.9
60.1,39.9
60.2,39.8
60.1,39.9
60.4,39.6
60.1,39.9
60.1,39.9
60.1,39.9
60.2,39.8
60.4,39.6
60.4,39.6
60.4,39.6
60.5,39.5
60.5,39.5
60.6,39.4
60.3,39.7
60.4,39.6
60.5,39.5
60.5,39.5
60.5,39.5
60.7,39.3
60.7,39.3
60.7,39.3
60.6,39.4
60.6,39.4
60.7,39.3
60.8,39.2
60.8,39.2
60.9,39.1
60.9,39.1
61,39
61,39
61.1,38.9
61.1,38.9
59.9,40.1
51.3,48.7
52.8,47.2
54.6,45.4
55.2,44.8
56.5,43.5
56.6,43.4
57.4,42.6
57.4,42.6
57.4,42.6
57.5,42.5
57.6,42.4
57.8,42.2
57.9,42.1
