Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Exports,12/31/01,77800,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-01-31T00:00:00,79260,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-02-28T00:00:00,79264,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-03-31T00:00:00,80345,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-04-30T00:00:00,82072,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-05-31T00:00:00,82427,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-06-30T00:00:00,83564,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-07-31T00:00:00,83724,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-08-31T00:00:00,83689,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-09-30T00:00:00,83487,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-10-31T00:00:00,82768,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-11-30T00:00:00,83919,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2002-12-31T00:00:00,81578,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-01-31T00:00:00,82513,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-02-28T00:00:00,83095,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-03-31T00:00:00,83156,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-04-30T00:00:00,82566,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-05-31T00:00:00,82630,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-06-30T00:00:00,85173,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-07-31T00:00:00,85944,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-08-31T00:00:00,84905,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-09-30T00:00:00,86969,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-10-31T00:00:00,88890,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-11-30T00:00:00,91322,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2003-12-31T00:00:00,91024,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-01-31T00:00:00,90564,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-02-29T00:00:00,94131,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-03-31T00:00:00,96707,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-04-30T00:00:00,96398,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-05-31T00:00:00,98197,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-06-30T00:00:00,95773,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-07-31T00:00:00,96907,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-08-31T00:00:00,97295,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-09-30T00:00:00,98782,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-10-31T00:00:00,100494,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-11-30T00:00:00,100090,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2004-12-31T00:00:00,102781,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-01-31T00:00:00,103206,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-02-28T00:00:00,104010,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-03-31T00:00:00,105098,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-04-30T00:00:00,107268,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-05-31T00:00:00,107079,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-06-30T00:00:00,107033,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-07-31T00:00:00,107082,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-08-31T00:00:00,108475,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-09-30T00:00:00,107156,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-10-31T00:00:00,109813,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-11-30T00:00:00,111462,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2005-12-31T00:00:00,113822,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-01-31T00:00:00,115831,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-02-28T00:00:00,116871,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-03-31T00:00:00,118821,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-04-30T00:00:00,119611,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-05-31T00:00:00,121155,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-06-30T00:00:00,122726,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-07-31T00:00:00,120430,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-08-31T00:00:00,122780,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-09-30T00:00:00,124052,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-10-31T00:00:00,125532,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-11-30T00:00:00,127388,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2006-12-31T00:00:00,128795,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-01-31T00:00:00,130648,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-02-28T00:00:00,129481,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-03-31T00:00:00,133835,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-04-30T00:00:00,133351,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-05-31T00:00:00,135835,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-06-30T00:00:00,137312,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-07-31T00:00:00,138546,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-08-31T00:00:00,141519,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-09-30T00:00:00,142069,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-10-31T00:00:00,144525,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-11-30T00:00:00,146264,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2007-12-31T00:00:00,147428,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-01-31T00:00:00,151094,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-02-29T00:00:00,153660,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-03-31T00:00:00,152900,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-04-30T00:00:00,157363,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-05-31T00:00:00,159081,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-06-30T00:00:00,164072,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-07-31T00:00:00,166232,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-08-31T00:00:00,163335,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-09-30T00:00:00,154611,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-10-31T00:00:00,151854,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-11-30T00:00:00,142973,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2008-12-31T00:00:00,132410,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-01-31T00:00:00,125859,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-02-28T00:00:00,127893,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-03-31T00:00:00,126478,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-04-30T00:00:00,125323,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-05-31T00:00:00,127342,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-06-30T00:00:00,129796,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-07-31T00:00:00,131878,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-08-31T00:00:00,132567,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-09-30T00:00:00,137047,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-10-31T00:00:00,141055,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-11-30T00:00:00,142075,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2009-12-31T00:00:00,145480,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2010-01-31T00:00:00,145718,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2010-02-28T00:00:00,146849,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,2010-03-31T00:00:00,151080,Monthly,TBEXTOT,2016-03-04T14:46:00
